582
grain
,000,09,10,1985,1986,1987,25,87,agriculture,corn,crop,department,dlrs,ec,export,exports,farm,farmers,grain,imports,maize,market,mln,nil,pct,price,prices,production,program,report,rice,said,soviet,tonnes,total,trade,usda,week,wheat,year
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,3,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,4,0,1,0,0,3,3,1,0,0,0,0,7,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,0,20,0,5,6,0,0,26,1,0,0,1,0,0,0,5,0,0,0,5,0,0,1,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,1,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
8,1,0,0,1,2,3,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1,0,0,5,11,0,2,1,0,0,0,2,1
9,0,0,2,0,0,0,0,0,1,3,2,1,1,0,0,0,1,2,2,0,0,0,1,0,0,0,2,1,4,0,0,2,0,0,1,1,2,1,0,0
10,0,0,3,4,4,0,0,4,1,0,2,1,0,0,0,0,0,0,2,4,0,0,16,0,0,0,0,2,0,0,0,0,4,16,0,0,2,0,3,0
11,0,0,0,0,2,0,1,3,1,1,2,1,0,0,0,0,0,0,9,2,0,0,9,0,0,0,0,0,0,1,0,7,7,9,1,1,8,0,2,0
12,0,0,0,1,2,0,0,2,0,0,0,0,5,0,1,0,0,0,1,0,0,0,11,0,5,0,0,0,0,0,0,8,0,2,1,0,0,0,0,5
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,0,0,0,1,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0
15,6,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,1,0,4,0
16,3,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,5,0,0,0,0,1,0,3,0,3,0,0,0,0,3,0
17,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0
18,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
19,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6,1,0,1,2,2,3
20,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,0
21,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,5,1,1,1,0,0,0,0,0,0,4,0,1,0,0,5,0,0,0,0,0,0,0,0
22,0,0,0,1,1,0,0,1,1,5,0,2,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,1,0,1,0,3,0,5,4,1,1,0,0,1
23,0,0,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,3,4,0,1,1,0,0,0,0,3
24,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0
25,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,2,0,8,0,0,0,0,3,2
26,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0
27,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,2
29,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
30,6,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,4,2,4,1,2,0,2,0,0
31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,4,0
33,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0
34,0,0,0,0,0,1,0,0,4,0,0,0,6,0,1,0,5,1,1,0,0,0,2,0,2,1,1,0,6,0,0,14,0,0,0,0,1,1,3,3
35,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,4,0
36,0,0,0,1,2,0,0,0,1,8,2,4,9,0,0,0,0,2,0,0,0,2,4,0,3,4,2,0,0,0,0,8,0,0,0,0,1,0,0,2
37,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,1
38,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,5,0,6,0,0,0,3,5,1
39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0
40,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,7,0,1,0,0,12,1
41,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,2,1,0,0,3,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
42,0,0,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,7,1,0,0,8,0,0,1,0,1,0,0,1,3,0,4,0,0,0,0,0,1
43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0
44,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0
46,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,3,0,0
47,0,0,0,0,0,4,0,0,1,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,9,1,0,5,0,0,1,0,4,2,0,1
48,0,0,0,0,0,0,2,0,1,0,9,1,0,0,0,0,0,1,6,0,0,1,2,0,3,0,0,0,0,0,0,16,9,1,1,0,2,0,0,2
49,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,7,0,0,0,0,0,2,0,0,0,0,0,1,0,0
50,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,1,0,0,0
51,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
52,3,0,0,0,0,1,0,0,1,8,0,4,2,3,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,5,0,3,0,1,2,0,0,1
53,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,1,0,0,1,4
54,0,0,1,0,1,1,1,1,1,0,3,0,0,0,0,2,0,0,0,0,0,2,14,0,3,4,2,1,0,0,0,12,0,12,1,0,0,0,11,4
55,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,6,5,0,0,3,0,0,0,2
57,0,0,0,2,2,0,0,2,1,0,2,1,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,0
58,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,8,0,0,0,0,1,0,0,1
