582
grain
,000,09,10,1985,1986,1987,25,87,agriculture,corn,crop,department,dlrs,ec,export,exports,farm,farmers,grain,imports,maize,market,mln,nil,pct,price,prices,production,program,report,rice,said,soviet,tonnes,total,trade,usda,week,wheat,year
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18587105450760028,0.0,0.0,0.22644386134118885,0.0,0.0,0.0,0.0,0.0,0.6010596529786886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2873290666468781,0.2959415310588807,0.0,0.25956130222156776,0.0,0.0,0.0,0.0,0.2287761798957537,0.0,0.5128863713084729,0.0
1,0.39480727876109095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4597261089742671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2560804705538179,0.0,0.33468163475142915,0.0,0.0,0.0,0.0,0.6746777848170848,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17326470518119017,0.10447956561927266,0.0,0.0,0.0,0.0,0.10859279318935505,0.0,0.0,0.0,0.1840428137512065,0.0,0.0,0.0,0.09410053584674716,0.0,0.0,0.2869372846902494,0.5226443098080045,0.0,0.13392076069736344,0.0,0.0,0.1814677894239853,0.42522434231678685,0.07905579613028145,0.0,0.0,0.0,0.0,0.5577843046993053,0.0
3,0.0,0.0,0.6065057605238128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4970843974409124,0.0,0.0,0.0,0.421228741290985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2768900959000244,0.0,0.36187855224525844,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9707616258622073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10635325233555504,0.0,0.0,0.0,0.2151995619675222,0.0,0.0,0.0,0.0
5,0.0,0.7798103403510459,0.0,0.11320364392191605,0.10722958562214692,0.0,0.0,0.5595477850232222,0.014219890391580791,0.0,0.0,0.017323874858558776,0.0,0.0,0.0,0.1154098661501723,0.0,0.0,0.0,0.11971705921209737,0.0,0.0,0.01544572282197297,0.0,0.0,0.0,0.0,0.11363524231686868,0.0,0.0,0.0,0.0,0.0,0.0,0.11407155772756528,0.0,0.0,0.0,0.013079296653017184,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.41484991728106146,0.0,0.0,0.0,0.0,0.0,0.29574515737610485,0.0,0.0,0.6971506545007194,0.0,0.0,0.0,0.0,0.2415321962634425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2690805558598438,0.0,0.35167195733526085,0.0,0.0,0.0,0.0,0.0,0.0
8,0.05530412632996452,0.0,0.0,0.08179840057400299,0.12913613458348275,0.2150882582899833,0.07885226374010423,0.0,0.0,0.0,0.2293072438328719,0.12517841352807801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6696438623927543,0.0,0.0,0.0,0.07748484797140628,0.08211026384248385,0.0,0.0,0.45628776782788455,0.3945858701603784,0.0,0.09376359760485858,0.08242553552018168,0.0,0.0,0.0,0.09450804848540674,0.0570916848327948
9,0.0,0.0,0.27990327112766394,0.0,0.0,0.0,0.0,0.0,0.09150657154344816,0.33107378110863867,0.27228777362519896,0.11148105579583327,0.1261679382061754,0.0,0.0,0.0,0.15216346526767607,0.29590894764588266,0.19439766322830507,0.0,0.0,0.0,0.0993949391681645,0.0,0.0,0.0,0.2760249923791994,0.14625107711213023,0.5658223194200392,0.0,0.0,0.1277851730844797,0.0,0.0,0.14681262472248394,0.12928289765394754,0.22525856894206772,0.14044807512545393,0.0,0.0
